check_id,concern,sheet,item,candidate_evidence,planned_action,output,status,confidence,dependency,acceptance_evidence
CDR-001,authority,all,Confirm controlling input set,"candidate CAD/concept/area image exist","Obtain BDPC written confirmation or replacements","signed source-of-truth register",Awaiting input,High,BDPC,"confirmation identifies exact current CAD, concept, title block, and standards"
CDR-002,source protection,all,Create protected native working set,"confidential originals are immutable","Copy only after kickoff into approved working location","working-set manifest",Blocked,High,all kickoff gates,"hash/stat evidence shows originals unchanged"
CDR-003,orientation,all,Establish project north,"concept pages use different displayed orientations","Normalize view orientation without altering sources","orientation control record",Awaiting input,High,controlling CAD,"project north and every source rotation are recorded"
CDR-004,orientation,proposed,Account for rotated enlarged concept,"enlarged partial plan shows north down-page","Apply documented 180-degree comparison rotation","overlay check",Awaiting input,High,CDR-003,"features align after documented rotation without scaling NTS raster"
CDR-005,units,all,Confirm drawing units,"analytical units remain candidate metres; concept uses feet/inches","Inspect native INSUNITS and dimension basis","unit control record",Blocked,High,licensed runtime,"model and paper units are confirmed and recorded"
CDR-006,title block,all,Load authoritative title block,"not yet confirmed","Source BDPC block and populate controlled fields","title-block xref/block",Awaiting input,High,BDPC,"sheet titles/numbers/revision/issue fields match authorization"
CDR-007,dependencies,all,Audit xrefs/fonts/shapes/object support,"native dependencies unvalidated","Run native dependency inventory","dependency report",Blocked,High,licensed runtime,"no unresolved production-critical dependency"
CDR-008,plot,all,Validate CTB/STB layouts and page setup,"plot fidelity unvalidated","Plot approved check sheets and compare","plot QA record",Blocked,High,licensed runtime,"paper size, viewport scale, lineweights, and clipping pass"
CDR-009,layers,all,Map BDPC layer standards,"standards package awaiting confirmation","Create layer mapping and exception list","layer matrix",Awaiting input,High,BDPC,"all entities use approved layers and properties"
CDR-010,existing plan,existing,Reconcile exterior footprint,"area diagram supplies candidate topology","Compare controlling CAD, photos, scans, and accepted dimensions","closed footprint polyline",Not started,Medium,CDR-001,"dimension closure and area reconciliation recorded"
CDR-011,existing plan,existing,Reconcile base area,"candidate 1,116 square feet","Verify 30x38 less 12x2 topology against controlling CAD","area record",Awaiting input,High,CDR-010,"accepted area basis and boundary are recorded"
CDR-012,existing plan,existing,Reconcile wood deck,"candidate 324 square feet / 27x12","Confirm location and existing/proposed role","deck area polyline",Awaiting input,High,CDR-001,"accepted limits and classification recorded"
CDR-013,existing plan,existing,Reconcile open frame porch,"candidate 108 square feet / 18x6","Confirm location and existing/proposed role","porch area polyline",Awaiting input,High,CDR-001,"accepted limits and classification recorded"
CDR-014,existing plan,existing,Inventory rooms,"reviewed area image does not label rooms","Use controlling CAD and reviewed evidence; leave unknowns explicit","room register",Not started,Unknown,CDR-001,"every enclosed space has confirmed label or open question"
CDR-015,existing plan,existing,Inventory walls and thicknesses,"scan/photo/CAD evidence pending native reconciliation","Trace/reconcile faces and centerlines; record basis","wall geometry",Not started,Unknown,licensed runtime,"wall joins close and thickness bases are documented"
CDR-016,existing plan,existing,Inventory windows,"private photos may provide context but no schedule is confirmed","Count, tag, size when supported; leave unknowns blank","window register",Not started,Unknown,CDR-001,"plan count equals register; unknowns remain flagged"
CDR-017,existing plan,existing,Inventory doors and openings,"concept shows exterior openings without complete schedule","Count, tag, swing, width when supported","door/opening register",Not started,Unknown,CDR-001,"plan count equals register; unknowns remain flagged"
CDR-018,existing plan,existing,Inventory stairs/steps/rails,"exterior context and concept show access elements","Document visible plan geometry and unresolved rise/run","access-element register",Not started,Unknown,CDR-001,"locations verified; unmeasured values remain blank"
CDR-019,existing plan,existing,Inventory fixtures/equipment,"not established by area image","Use controlling CAD and supported evidence only","fixture/equipment register",Not started,Unknown,CDR-001,"symbols and counts reconcile to evidence"
CDR-020,existing plan,existing,Dimension plan,"candidate dimensions are incomplete","Build dimension hierarchy from confirmed controls","dimensioned existing plan",Not started,Unknown,CDR-010,"overall/segment/opening dimensions close without invented values"
CDR-021,existing plan,existing,Tag areas,"A/B/C categories supplied as candidates","Create separate closed boundaries and tags","area-tagged plan",Not started,Medium,CDR-011,"computed values reconcile or discrepancy is logged"
CDR-022,proposed plan,proposed,Resolve living expansion width,"approximately 12 feet shown","Confirm endpoints and exact value","control dimension",Awaiting input,Medium,BDPC,"written/confirmed dimension controls geometry"
CDR-023,proposed plan,proposed,Resolve deck expansion width,"approximately 9 feet versus 10 feet shown","Return conflict to BDPC; do not choose silently","resolved discrepancy",Awaiting input,High,BDPC,"one controlling value and endpoints are confirmed"
CDR-024,proposed plan,proposed,Resolve proposal length,"30 feet indicated","Confirm endpoints and whether it controls deck and living work","control dimension",Awaiting input,Medium,BDPC,"one controlling value and endpoints are confirmed"
CDR-025,proposed plan,proposed,Create new kitchen zone,"concept labels new kitchen","Draft confirmed walls/openings and room tag","proposed kitchen plan",Not started,High,CDR-001,"geometry matches confirmed concept and dimensions"
CDR-026,proposed plan,proposed,Create cabinet runs,"perimeter cabinet/appliance zones are shown","Source/create controlled cabinet modules","cabinet layout",Not started,Medium,CDR-025,"runs, clearances, and equipment spaces are dimensioned"
CDR-027,proposed plan,proposed,Create island and seating,"large island with seating shown","Source/create block and verify circulation","island layout",Not started,Medium,CDR-025,"island dimensions and clearances are confirmed"
CDR-028,proposed plan,proposed,Place appliances and sink,"range/cooktop and other appliance zones shown","Use confirmed equipment types or labeled placeholders","equipment layout",Not started,Low,BDPC,"locations/types are confirmed or clearly provisional"
CDR-029,proposed plan,proposed,Create new living area,"concept labels new living","Draft boundary, openings, room tag, and circulation","proposed living plan",Not started,High,CDR-001,"geometry matches confirmed concept"
CDR-030,proposed plan,proposed,Test furniture/circulation,"concept shows sofa/chair/table arrangement","Use planning blocks to test circulation","test-fit overlay",Not started,Medium,CDR-029,"no obvious conflict; not represented as client furniture selection"
CDR-031,proposed plan,proposed,Create new deck,"concept labels new deck","Draft confirmed boundary and separate area polyline","deck plan",Not started,High,CDR-023,"limits and area reconcile to accepted controls"
CDR-032,proposed plan,proposed,Create deck stairs and railings,"stairs shown; rail system not fully defined","Source/create plan blocks and flag unresolved details","deck access plan",Not started,Medium,CDR-031,"locations coordinated; code/structural design excluded"
CDR-033,proposed plan,proposed,Coordinate exterior openings,"concept shows connections between living/kitchen and deck","Confirm door/window/opening types and sizes","opening plan",Not started,Medium,BDPC,"tags and dimensions reconcile to schedules/registers"
CDR-034,proposed plan,proposed,Separate existing/demolition/new work,"concept overlay does not fully define demolition","Apply approved graphic conventions and questions","phase-coded plan",Not started,Unknown,BDPC,"every changed element has an explicit phase state"
CDR-035,site plan,site,Reconcile house/deck/porch footprint,"site concept and area diagram provide candidates","Orient and reconcile to controlling CAD","site footprint",Not started,Medium,CDR-003,"topology matches accepted plan controls"
CDR-036,site plan,site,Document drive and walk,"concept labels drive and walk","Draft accepted generalized limits","site context linework",Not started,Medium,CDR-001,"labels and limits are confirmed; no survey claim"
CDR-037,site plan,site,Document proposed work limits,"living and deck expansion zones shown","Create distinct proposed-work graphics","work-limit plan",Not started,Medium,CDR-022,"limits match confirmed proposal"
CDR-038,site plan,site,Handle clearance annotations,"several 7-foot and one 30-foot callouts shown","Verify meaning/endpoints; label as conceptual until confirmed","dimension/question record",Awaiting input,Low,BDPC,"no setback or zoning claim; controlling meaning recorded"
CDR-039,site plan,site,Use aerial context safely,"private aerial pages available","Use only in protected working set; never publish/source as survey","private underlay record",Awaiting input,High,access control,"underlay remains private and is excluded from issued dependency set unless authorized"
CDR-040,QA,all,Run geometry closure,"closed polylines and dimensions required","Audit gaps, overlaps, duplicate entities, and area closure","geometry QA report",Not started,High,licensed runtime,"zero unexplained closure errors"
CDR-041,QA,all,Run annotation QA,"tags, notes, and dimensions pending","Audit readability, hierarchy, precision, and unresolved blanks","annotation QA report",Not started,High,licensed runtime,"no orphan tags or hidden unresolved values"
CDR-042,QA,all,Run sheet-to-sheet coordination,"three sheets share footprints/areas","Cross-check orientation, dimensions, tags, and revision state","coordination report",Not started,High,all sheets,"shared values agree or discrepancies are logged"
CDR-043,QA,all,Run print QA,"SOW print QA does not prove CAD plot fidelity","Plot native sheets and compare on paper/PDF","plot comparison",Blocked,High,licensed runtime,"no clipping; lineweights/text/viewport scales pass"
CDR-044,delivery,all,Prepare three-sheet check set,"target is three business days after all kickoff gates","Issue controlled review PDF","check-set package",Not started,High,all kickoff gates,"three sheets open, plot, and pass internal QA"
CDR-045,delivery,all,Resolve one consolidated review,"one round included","Log and close one complete BDPC response","review disposition log",Not started,High,client review,"every consolidated comment is resolved or accepted as open"
CDR-046,delivery,all,Prepare final native/PDF issue,"production has not begun","Package approved native CAD/PDF and record hashes","final issue package",Not started,High,CDR-045,"licensed open/plot and package manifest pass"
